health,岗位,睡眠,工作倦怠,工作家庭冲突,幸福感与工作满意度,心理健康服务需求与现状,心理健康素养,心理求助障碍,心理资本,正性与负性情绪,科技工作者,创业态度,工作时间分配,工作满意度,收入水平,生活困扰,社会资本,组织氛围,职业价值观,行政干预,职业压力,背景信息,个人创新行为,易激惹
0,8,46,43,40,12,33,8,66,2,37,4,1,48,42,32,2,33,6,11,35,69,107699.5,16,1
0,14,44,27,24,15,36,6,57,3,33,1.33,2,36,47,22,2,20.07,11,9,13,32,42498.5,22,0
0,9,49,35,44,20,21,6,59,2,41,28,1,41,42,25,1,17.86,6,7,33,64,95204.95,24,0
0,15,43,38,39,16,27,6,66,2,20,1,2,45.64,46,14,1,28,13.55,3,16,49,48263.02,14,0
0,8,45,27.49,31.1,17.07,35.08,6,51.92,3,30.7,4.35,1,27.87,43.04,19,2,32,10,9,15.96,45.91,36822,15.85,0
0,8,44,43,10,9,27,7,42,3,39,36,1,66,52,28,3,38,5,15,11,27,53563,24,0
0,20,48,36,17,21,36,8,59,3,32,1,1,32,32,12,1,32,13,11,16,62,178507.79,24,1
0,25,62,34,17,29,27,7,77,2,24,2,2,33,16,10,1,26,13,18,9,32,121687.63,24,0
1,24,45,22,36,22,31,7,58,2,46,2,4,42,39.13,13,1,40.76,12,15,17,65,167739.5,24,1
0,15,43.48,29,39,15,34.59,6,51,1,53,6.64,4,51,34,33,1,24.87,17,7,40,59,44971.185,21,2
0,20,48,28,22,13,29,6,67,2,27,1,4,55,27,26.97,1,24.64,12,4,14,38,282764,17,0
0,26,48,32,26,16,42,5,57,3,40,1,1.78,43,25.29,26.1,2.66,20.91,10.87,11.26,13.19,56,43150.24,24,1
0,8,44,32,42,21,29,6,58,2,41,2,2,46,42,17,1,21,6,10,29,51,66635,24,1
0,27,36,30,30,20,35,5,60,2,40,1,3,34.02,43,36,1,23.57,12.54,11,18.82,67,51684.515,18,1
0,17,44,26,28,13,36,7,59,2,31,5,1,34,43,25,3,19.02,14,9,18.68,50,88509,21,0
0,20,43,42.01,48,20,42,6,74,2,48,6,2,41,41,22,2,32,3,9,9,77,88245,24,1
0,12,42,22,18,26,23,5,49,2,40,1,2,32,42,12,2,28,15,4,13,38,87386.5,22,0
0,23,41,38,12,18,32,7,77,3,41,1,2,23,46,12,1,29.36,15,9,17,33,90884,9,0
0,22,42,43,20,24,29,6,62,2,26,1,1,24,42,22,3,35,11,8,19,36,57849.5,12,0
1,8,44,54,45,9,32,6,58,3,38,1,2,31,38,32,7,39,10,19,17,68,212027,24,1
0,12,42,22,27,21,23,5,57,2,38,1,1,35,48,13,1,25,9,6,16,39,120408.5,15,0
1,8,46,30,45,18,29,7,60,1,40,1,2,36,42,37,2,19.05,13,13,17,72,87610,21,1
1,10,34,16,34,32,28,6,62,2,59,8,1,37,34,12,3,18,8.86,14,14.58,87,89774.19,24,1
0,8,49,23,20,25,28,8,40,3,37,1,2,35,28,13,1,26,11,5,12.18,54,141654,18,2
0,21,53,3.89,20,19,24.22,5,20,1,24.61,1,1,31,28,20,1,17.72,12,3,15,36,146712.15,24,0
0,6,46,15,20,30,24,9,41,2,40,8,3,53,37,10.79,2,36.31,3,14,17,54,117521,23,0
0,25,32,25,35,15,26,6,58.87,1,35,7,2,28,49,31,2,23,17,8,24,74,101352.23,22,0
0,22,42,10,10,16,34,6,62,3,41,2,1,49,33,11,1,20.49,11,5,15,23,127400,19,0
0,8,44,31,50,21,28,6,58,2,30.83,5,1,46,42,29,4,26,13,15,23,54,79429,18,0
0,8,47,30,28,20,23,6,61,2,63,6,1,47,27,13,2,31,10,4,14,54,61660.5,24,2
0,14,45,35,10,20,26,6,45,2,30,6,1,27,39,12,1,34,15,9,11,36,90868,19,0
0,17,42,28,42,17,34,5,57,3,31,3,2,50,39,17.48,2,33.27,14,9,25,55,164149.5,16,2
1,23,45,50,25,11,32,6,64,1,35,2,1,22,59,30,2,19.91,12.03,7,11,61,36417,23,1
0,15,43,35,23,16,36.49,6,58,3,39,4,1,37,29,34,1,32,11,11,18,57,81057.5,23,1
0,15,43,30,20,15,35,6,65,3,42,4,1,36,53,34,1,32,11,10,20,60,61793.5,23,1
0,12,42,40,38,29,28,6,42,2,28,7,1,41,24,8,2,33,13,12,12,48,173424.06,18,1
0,20,44,28,36,23,40,6,60,2,28,2,3,51,37,21,4,31.58,11,16,19,57,227772,20,1
0,23,46,47,30,20,33,7,65,3,49,1,3,28,42,26,1,23.36,11,8,11,50,38348.45,28,1
0,14,42,35,27,19,35,6,65,2,35,1,1,32,43,27,2,25.55,9,5,18,52,51363.515,21,1
0,24,41,51,33,8,32,7,64,2,41,5,2,35,49,22,1,20,15,9,12,56,74015.5,26,3
1,24,42,70,39,12,25.42,7,56,2,30,2,1,28,55,22,5,17.32,13.02,10,20,66,74392.5,30,2
0,14,40,30,60,20,43,6,60,2,40,18,4,47,54,27,6,33,8,19,8,72,55356,24,1
0,8,46,28,10,6,32,6,45,2,21,3.16,2,35,28,16,2,26,3,12,13,20,79682,21.81,0
0,17,42,31,10,25,23,6,38,2,35,1,1,40,27,8,1,25,11,7,9,27,156901.5,6,0
0,23,39,49,28,18,28,6,60,3,46,2,1,32,54,21,4,34,16,5,21,54,45448,23,0
0,15,45,42.28,23,26,29,5,42.18,2,38,13,2,46,42,29,2,28,10,4,15,58,47903.31,19,2
0,13,42,36,17,30,33,6,66,2,49,2,2,26,25,11,1,34.37,16,4,18,40,84388.17,24,0
0,22,43,45,20,30,31,6,63,2,27,1,1,28,42,22,2,39,15,7,33,36,97890.5,12,0
0,13,44,28,40,20,38,6,47,3,33,2,2,40,35,32,7,33,10,7,12,21,28781.13,24,0
0,18,43,60,27,23,43,6,64.17,2,40,15,3,32,56,22,2,24,7,20,13,62,161314,27,1
0,22,41,45,48,22,28,6,73,1,33,1,1,23,27,8,1,27.03,15,7,16,51,120371,12,1
1,24,46,43,42,15,42,7,59.94,2,34,19,1,39,44,25,1,40,11,14,19,53,64815,24,1
0,24,41,44,27,21,25,6,29,1,52,1,1,31,24,22,1,30,9.09,3,12,32,50677.5,24,1
0,8,44,54,31,12,27,5,63,2,43,1,1,37,43,30,3,23,14,10,12,35,154650,30,1
0,14,44,28.61,22,24,29,7,53,2,45,9,1,33,23,20,1,29,10,5,18,42,42728,30,0
0,13,44,24,10,5,35,6,20,3,31,1,1,40,27,12,1,20,4,4.77,11,18,80832.5,18,0
0,113,40,49,20,26,28,5,23,2,47,1,1,34,14,14,1,30,12,4,8,42,61793.79,24,0
0,12,42,46,39,20,28,6,59,2,43,6.07,2,42,32,12,3,22.69,8,8,14,56,110796,24,0
0,4,44,32,46,11,31,6,62,2,29,8,2,35,45,27,3,23.28,4,14,14,55,54506,17,1
0,6,47,44,60,20,26,6,71,2,42,9,1,45,31,13,4,22.46,4,16,13,52,123512,25,1
0,24,40,34,36,12,41,5,65,3,37,45,2,51,41,23,3,79,6,16,14,71,83352,24,2
0,8,61,35,23,26,22,5,57.37,2,39,1,1,27,35,22,1,17,9.59,7,25.93,38.26,306647,22,0
1,19,44,38,43,25,24,5,64,3,51,12,1.66,40,28,25.9,2.85,29.7,3,15,8.62,74,43017.03,24,1
0,8,41,30,15,5,25,5,60,1,40,2,1,57,32,12,2,19.1,15.46,5,12,34.84,47648.56,11,0
0,8,44,15,22,20,37,7,60,2,35,1,1,27,39,19,3,24,15,12,17,39,107750.52,18,1
0,4,47,40,33,22,30,6,61,3,35,5,1,38,46,27,1,33,12,12,21,58,58979.5,19,1
0,5,47,33,28,16,32,6,56,2,43,5,2,25,41,26,3,21.44,6.6,7,15,37,562774.15,20,1
0,14,47,39,20,14,35,6,53,2,33,2,1,27,42,20,1,32,10,10,13,39,142967,18,0
0,16,43,34,49,9,31,6,64,1,23,6,1,42,39,14,2,23.26,12,12,10,67,193548.86,13,1
0,26,47,29,40,20,37,10,60,2,60,2.82,2,55,42,36.31,1,25.55,7,9,18.83,54,42921.685,18,1
1,20,44,48,43,10,30,5,65,1,43,1,1,24,61,13,1,19,5,3,12,79,108316.23,12,2
0,8,46,41,31,10,25,6,77,2,51,11,2,33.01,50,22,2,18.6,7,11,15,66,48209.51,23,0
0,4,48,39,27,13,17,5,42,1,20,3,2,35,54,19,1,20,3,8,14,36,141763.76,12,0
0,23,46,37,20,21,30,6,67,3,42,2,1,25,43,13,1,27,13.98,16,13,41,280747,13,2
0,15,43,50,47,18,34,6,56,2,28,8,2,40,38,15,2,33,9,16,11,61,275315,22,1
0,16,46,57,36,17,33,6,55,2,28,4,1,42.59,42,13,1,31,7,16,21,49,297517,19,1
0,14,43,35,10,27,47,6,56,2,61,12,1,34,41,17,2,34,7,13,15,22,58314.5,23,0
0,23,46,30,40,20,27.04,8,60,3,40,4.89,1.87,24.58,28.44,23.14,2.94,24.53,7,16,14.2,54,49919.925,10.85,1
0,4,46,29,40,24,38,6,61,2,32,3,2,37,29,18,1,36,8,5,15,45,41488.01,20,0
2,18,38.81,60,40,20,28.96,9,60,2,60,6.21,1,35.14,42,25,1,21.69,6.03,10,15.46,64.87,45980.69,18,3
1,6,48,35,37,6,40,6,61,1,40.24,5,2,50,48,30,2,23,6.24,17,13.3,79,62511,18,2
0,24,44,23,25,12,36,7,65,2,41,4,2,27,38,13,1,57,13,8,17,58,114781,19,0
0,8,48,40,51,13,33,7,61,3,37,10,1,35,58,28,2,19.35,15,13,17,70,57605,21,1
0,6,24,39,22,18,32.79,7,54,3,33,1,1,39,26.6,30,2.93,23.35,9.02,5,18.64,42,42660.82,21,2
0,8,43,43,32,32,38,7,55,2,47,1,1,49,30,17,3,53,6,13,16,40,100772.5,25,1
